time,dP,inlet_P,inlet_T,inlet_V,outlet_P,outlet_T,outlet_V
0,11.740869556118,-3285.9628457192,546.83532951822,0.2330707112944,-3297.7037152753,546.83533026157,0.23414793995922
0.0001,-10652.872234448,-10652.872234448,546.83532913737,0.2331119725834,0,546.83533026157,0.23316979407866
0.0002,-12059.587836196,-12059.587836196,546.83532841852,0.23200168564973,0,546.83533026157,0.23206263129364
0.0003,15383.600564519,15383.600564519,546.83532968164,0.23342357751112,0,546.83533026157,0.23347262235473
0.0004,19720.085376219,19720.085376219,546.83533047372,0.23523762280204,0,546.83533026157,0.23528023132917
0.0005,-21955.005795908,-21955.005795908,546.83532854432,0.23320434939901,0,546.83533026157,0.23326546042422
0.0006,-31917.602891025,-31917.602891025,546.83532842215,0.23026472071071,0,546.83533026157,0.2303369855241
0.0007,31102.369358027,31102.369358027,546.83533072034,0.23314367756811,0,546.83533026157,0.2331886122848
0.0008,51381.134583303,51381.134583303,546.83533351095,0.23787446464914,0,546.83533026157,0.23790030710457
0.0009,-43498.845808939,-43498.845808939,546.83533039472,0.2338432955888,0,546.83533026157,0.2339093205112
0.001,-82117.434222523,-82117.434222523,546.83533065072,0.22627786097582,0,546.83533026157,0.22637684313011
0.0011,60090.455939921,60090.455939921,546.83533209919,0.23184748166657,0,546.83533026157,0.2318870886367
0.0012,130556.54691192,130556.54691192,546.83533680739,0.24387567282663,0,546.83533026157,0.24386121693656
0.0013,-81571.665542115,-81571.665542115,546.83532899556,0.23630655789852,0,546.83533026157,0.23637759810664
0.0014,-206394.42982643,-206394.42982643,546.83533073763,0.21728450880329,0,546.83533026157,0.2174478211761
0.0015,108486.73171729,108486.73171729,546.8353325748,0.22735874550642,0,546.83533026157,0.22739600088355
0.0016,324697.14412546,324697.14412546,546.83534659542,0.25728742711279,0,546.83533026157,0.25717895470774
0.0017,-140186.69708589,-140186.69708589,546.83532194585,0.24424901873476,0,546.83533026157,0.24431697418378
0.0018,-508367.94626578,-508367.94626578,546.8353399109,0.19737869861862,0,546.83533026157,0.19769733703792
0.0019,174188.5735945,174188.5735945,546.83535295331,0.21360968899481,0,546.83533026157,0.21366691828505
0.002,792248.94300599,792248.94300599,546.835403193,0.28666416016389,0,546.83533026157,0.28634209057602
0.0021,-203458.01376498,-203458.01376498,546.83531420216,0.26764193373378,0,546.83533026157,0.26767081060898
0.0022,-1229436.2426215,-1229436.2426215,546.83533570691,0.15425026812018,0,546.83533026157,0.1549676790307
0.0023,213655.77169267,213655.77169267,546.83531051076,0.17434710662578,0,546.83533026157,0.17452669648948
0.0024,1898952.7960365,1898952.7960365,546.83547012823,0.34951714377766,0,546.83533026157,0.3487227584609
0.0025,-175332.20709189,-175332.20709189,546.83533840581,0.33274698606128,0,546.83533026157,0.33262482931458
0.0026,-2921956.8952695,-2921956.8952695,546.83545650015,0.063158952711465,0,546.83533026157,0.068408543744359
0.0027,37220.883817787,37220.883817787,546.83531213053,0.067499488579682,0,546.83533026157,0.071490502359688
0.0028,4436105.8698016,4436105.8698016,546.72437140275,0.47685547082405,0,546.83533026157,0.47505287460046
0.0029,298800.25848347,298800.25848347,546.84161840017,0.50305157849167,0,546.83533026157,0.50248118336691
