"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
227.38592020344623,0.25
227.40998345239353,0.251
227.44377336774238,0.252
227.4823377821537,0.253
227.5236949623203,0.254
227.5691703172111,0.255
227.617076273517,0.256
227.6687229031022,0.257
227.72262019510345,0.258
227.78016945609346,0.259
227.8400263977707,0.26
227.90328730695745,0.261
227.9686900962186,0.262
228.03602192082928,0.263
228.10362590838986,0.264
228.17125689858239,0.265
228.23830756630554,0.266
228.30451967304407,0.267
228.37002867320547,0.268
228.4346534915701,0.269
228.49878699503228,0.27
228.56240296820675,0.271
228.62587053147308,0.272
228.6893532519394,0.273
228.7530728359344,0.274
228.81738404308857,0.275
228.8823142525697,0.276
228.9483976333335,0.277
229.01545883325315,0.278
229.08419992507112,0.279
229.15425232594527,0.28
229.22647398570405,0.281
229.30031648570747,0.28200000000000003
229.37678158859813,0.28300000000000003
229.4551545791855,0.28400000000000003
229.53656867764317,0.285
229.6201550076085,0.286
229.70716614803337,0.287
229.79659025902242,0.28800000000000003
229.8897882833548,0.28900000000000003
229.98561628539915,0.29000000000000004
230.08553355530177,0.291
230.1882736663086,0.292
230.29538779922808,0.293
230.40549626065035,0.294
230.52024011776427,0.295
230.63813336372175,0.296
230.7609128358406,0.297
230.88699022581898,0.298
231.01821545645186,0.299
231.15289741985163,0.3
231.29303017112568,0.301
231.43681068093156,0.302
231.58642726418384,0.303
231.73994566084372,0.304
231.8998194798632,0.305
232.06394770318707,0.306
232.23514350375518,0.307
232.4110811643062,0.308
232.5950610405693,0.309
232.78445209608452,0.31
232.98321765363863,0.311
233.18832057841644,0.312
233.40463767966338,0.313
233.628607777777,0.314
233.86630602349084,0.315
234.11343621041522,0.316
234.37754974936587,0.317
234.6533240279607,0.318
234.95016429906946,0.319
235.2614296699307,0.32
235.5988404954531,0.321
235.95408060313474,0.322
236.34172266410417,0.323
236.75139220914872,0.324
237.20088825472737,0.325
237.67736859285577,0.326
238.20168549809512,0.327
238.7583810685707,0.328
239.3695525781185,0.329
240.017394590692,0.33
240.71983252247173,0.331
241.4580510010934,0.332
242.23485563512702,0.333
243.03156138847726,0.334
243.82661495714717,0.335
244.59936051344164,0.336
245.33377158514963,0.337
246.03808037672331,0.338
246.69750893616242,0.339
247.330868874124,0.34
247.92605836913788,0.341
248.501100946816,0.342
249.0470193198165,0.343
249.57796987870324,0.344
250.087562008919,0.345
250.58618678858477,0.346
251.06937860413757,0.347
251.5446122263519,0.348
252.00881599571687,0.349
252.46734930448076,0.35
252.91817715695174,0.351
253.36513180994643,0.352
253.80701090594926,0.353
254.24650602987504,0.354
254.68306328550523,0.355
255.11847393343794,0.356
255.55278024819438,0.357
255.98705041289793,0.358
256.4218716062138,0.359
256.85771782905704,0.36
257.29567041619146,0.361
257.73564936874993,0.362
258.179185904531,0.363
258.62568756092423,0.364
259.0770991979048,0.365
259.5323540362567,0.366
259.99377234501753,0.367
260.4598355505798,0.368
260.93319572916425,0.369
261.41192617183947,0.37
261.89896103489184,0.371
262.39201208864995,0.372
262.89424756315657,0.373
263.4030245823931,0.374
263.9217338396303,0.375
264.4474535658936,0.376
264.98375955408414,0.377
265.5274788616316,0.378
266.08233522138187,0.379
266.64494963691084,0.38
267.21915660318814,0.381
267.8013987199565,0.382
268.3955655501703,0.383
268.9979556516513,0.384
269.6124641796006,0.385
270.23529019980924,0.386
270.8702765374926,0.387
271.51356293698484,0.388
272.16885843206626,0.389
272.83228471139205,0.39
273.5073554208899,0.391
274.1902377041381,0.392
274.88417291132725,0.393
275.5854316588217,0.394
276.29690854373337,0.395
277.01504735573144,0.396
277.74231752350295,0.397
278.47541378412404,0.398
279.2163166556062,0.399
279.9620575184291,0.4
280.71408218973113,0.401
281.4698262999632,0.402
282.23016163303396,0.403
282.9930014998929,0.404
283.75864214595583,0.405
284.52553384616886,0.406
285.2934080373142,0.40700000000000003
286.0612945393797,0.40800000000000003
286.8283833511073,0.40900000000000003
287.59429476613695,0.41000000000000003
288.35769507038174,0.41100000000000003
289.11879127043915,0.41200000000000003
289.8757382210224,0.41300000000000003
290.6293111903781,0.41400000000000003
291.3771459837011,0.41500000000000004
292.12055315398106,0.41600000000000004
292.8566285966215,0.41700000000000004
293.5871942982425,0.41800000000000004
294.3087915048236,0.41900000000000004
295.0237529693495,0.42000000000000004
295.7280672898245,0.42100000000000004
296.4245748025746,0.42200000000000004
297.1087515013835,0.42300000000000004
297.78397126142806,0.42400000000000004
298.44528556969294,0.42500000000000004
299.096613848714,0.42600000000000005
299.7327259798093,0.42700000000000005
300.3580695818322,0.42800000000000005
300.96734376196525,0.42900000000000005
301.5654715833143,0.43000000000000005
302.1473647226371,0.43100000000000005
302.718313405338,0.43200000000000005
303.2738373117804,0.43300000000000005
303.81945124992353,0.43400000000000005
304.3518720414356,0.43500000000000005
304.8767006242549,0.43600000000000005
305.3927068707774,0.43700000000000006
305.9057024733264,0.438
306.41754749998165,0.439
306.9350798005738,0.44
307.46277280899756,0.441
308.00983518951693,0.442
308.5741377720069,0.443
309.1602862064167,0.444
309.73286342006566,0.445
310.2741160126084,0.446
310.7177974924116,0.447
311.05846431508337,0.448
311.25603066974315,0.449
311.1141417971779,0.45
