"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
228.1286896783305,0.25
228.17028798394824,0.2505
228.17028798394824,0.251
228.17028798394824,0.2515
228.17028798394824,0.252
228.2124202202819,0.2525
228.2124202202819,0.253
228.2124202202819,0.2535
228.2124202202819,0.254
228.256816386136,0.2545
228.256816386136,0.255
228.256816386136,0.2555
228.256816386136,0.256
228.30714232972673,0.2565
228.30714232972673,0.257
228.30714232972673,0.2575
228.30714232972673,0.258
228.3679264349484,0.2585
228.3679264349484,0.259
228.3679264349484,0.2595
228.3679264349484,0.26
228.44767242332375,0.2605
228.44767242332375,0.261
228.44767242332375,0.2615
228.44767242332375,0.262
228.73137081199695,0.2625
228.73137081199695,0.263
228.73137081199695,0.2635
228.73137081199695,0.264
228.90479965968336,0.2645
228.90479965968336,0.265
228.90479965968336,0.2655
228.90479965968336,0.266
229.0494101189015,0.2665
229.0494101189015,0.267
229.0494101189015,0.2675
229.0494101189015,0.268
229.18400016241645,0.2685
229.18400016241645,0.269
229.18400016241645,0.2695
229.18400016241645,0.27
229.3183187914263,0.2705
229.3183187914263,0.271
229.3183187914263,0.2715
229.3183187914263,0.272
229.45066775156505,0.2725
229.45066775156505,0.273
229.45066775156505,0.2735
229.45066775156505,0.274
229.58718977241512,0.2745
229.58718977241512,0.275
229.58718977241512,0.2755
229.58718977241512,0.276
229.73344813032952,0.2765
229.73344813032952,0.277
229.73344813032952,0.2775
229.73344813032952,0.278
229.88555702669527,0.27849999999999997
229.88555702669527,0.279
229.88555702669527,0.27949999999999997
229.88555702669527,0.28
230.04979009675048,0.28049999999999997
230.04979009675048,0.281
230.04979009675048,0.2815
230.04979009675048,0.28200000000000003
230.23157372840143,0.2825
230.23157372840143,0.28300000000000003
230.23157372840143,0.2835
230.23157372840143,0.28400000000000003
230.42484622484312,0.2845
230.42484622484312,0.285
230.42484622484312,0.2855
230.42484622484312,0.286
230.63672235005907,0.2865
230.63672235005907,0.287
230.63672235005907,0.2875
230.63672235005907,0.28800000000000003
230.87326119195814,0.2885
230.87326119195814,0.28900000000000003
230.87326119195814,0.2895
230.87326119195814,0.29000000000000004
231.1254307903069,0.2905
231.1254307903069,0.291
231.1254307903069,0.2915
231.1254307903069,0.292
231.40158073078055,0.2925
231.40158073078055,0.293
231.40158073078055,0.2935
231.40158073078055,0.294
231.70910923602247,0.2945
231.70910923602247,0.295
231.70910923602247,0.2955
231.70910923602247,0.296
232.03536919395327,0.2965
232.03536919395327,0.297
232.03536919395327,0.2975
232.03536919395327,0.298
232.3907161580865,0.2985
232.3907161580865,0.299
232.3907161580865,0.2995
232.3907161580865,0.3
232.78457797168028,0.3005
232.78457797168028,0.301
232.78457797168028,0.3015
232.78457797168028,0.302
233.20047576947093,0.3025
233.20047576947093,0.303
233.20047576947093,0.3035
233.20047576947093,0.304
233.65193992566958,0.3045
233.65193992566958,0.305
233.65193992566958,0.3055
233.65193992566958,0.306
234.15206849389136,0.3065
234.15206849389136,0.307
234.15206849389136,0.3075
234.15206849389136,0.308
234.6825904803564,0.3085
234.6825904803564,0.309
234.6825904803564,0.3095
234.6825904803564,0.31
235.26339199981948,0.3105
235.26339199981948,0.311
235.26339199981948,0.3115
235.26339199981948,0.312
235.9142595782459,0.3125
235.9142595782459,0.313
235.9142595782459,0.3135
235.9142595782459,0.314
236.6182421654609,0.3145
236.6182421654609,0.315
236.6182421654609,0.3155
236.6182421654609,0.316
237.40766231610922,0.3165
237.40766231610922,0.317
237.40766231610922,0.3175
237.40766231610922,0.318
238.31604474896062,0.3185
238.31604474896062,0.319
238.31604474896062,0.3195
238.31604474896062,0.32
239.33471843224163,0.3205
239.33471843224163,0.321
239.33471843224163,0.3215
239.33471843224163,0.322
240.522284125106,0.3225
240.522284125106,0.323
240.522284125106,0.3235
240.522284125106,0.324
241.94685557264268,0.3245
241.94685557264268,0.325
241.94685557264268,0.3255
241.94685557264268,0.326
243.6338941180129,0.3265
243.6338941180129,0.327
243.6338941180129,0.3275
243.6338941180129,0.328
245.72650134221044,0.3285
245.72650134221044,0.329
245.72650134221044,0.3295
245.72650134221044,0.33
248.45300113727626,0.3305
248.45300113727626,0.331
248.45300113727626,0.3315
248.45300113727626,0.332
252.20518535096824,0.3325
252.20518535096824,0.333
252.20518535096824,0.3335
252.20518535096824,0.334
258.46326389849276,0.3345
258.46326389849276,0.335
258.46326389849276,0.3355
258.46326389849276,0.336
260.9401727364731,0.3365
260.9401727364731,0.337
260.9401727364731,0.3375
260.9401727364731,0.338
262.70558774278004,0.3385
262.70558774278004,0.339
262.70558774278004,0.3395
262.70558774278004,0.34
264.2301055211774,0.3405
264.2301055211774,0.341
264.2301055211774,0.3415
264.2301055211774,0.342
265.6535972516099,0.3425
265.6535972516099,0.343
265.6535972516099,0.3435
265.6535972516099,0.344
266.97824152391604,0.34450000000000003
266.97824152391604,0.345
266.97824152391604,0.34550000000000003
266.97824152391604,0.346
268.24435905492305,0.34650000000000003
268.24435905492305,0.347
268.24435905492305,0.34750000000000003
268.24435905492305,0.348
269.4845537397749,0.34850000000000003
269.4845537397749,0.349
269.4845537397749,0.34950000000000003
269.4845537397749,0.35
270.6718015209118,0.3505
270.6718015209118,0.351
270.6718015209118,0.3515
270.6718015209118,0.352
271.83018291440305,0.3525
271.83018291440305,0.353
271.83018291440305,0.3535
271.83018291440305,0.354
272.9831108952277,0.3545
272.9831108952277,0.355
272.9831108952277,0.3555
272.9831108952277,0.356
274.100982511148,0.3565
274.100982511148,0.357
274.100982511148,0.3575
274.100982511148,0.358
275.2046824982773,0.3585
275.2046824982773,0.359
275.2046824982773,0.3595
275.2046824982773,0.36
276.3139480235667,0.3605
276.3139480235667,0.361
276.3139480235667,0.3615
276.3139480235667,0.362
277.3973481275117,0.3625
277.3973481275117,0.363
277.3973481275117,0.3635
277.3973481275117,0.364
278.4733796559094,0.3645
278.4733796559094,0.365
278.4733796559094,0.3655
278.4733796559094,0.366
279.56065677890945,0.3665
279.56065677890945,0.367
279.56065677890945,0.3675
279.56065677890945,0.368
280.6274667311052,0.3685
280.6274667311052,0.369
280.6274667311052,0.3695
280.6274667311052,0.37
281.6913737203379,0.3705
281.6913737203379,0.371
281.6913737203379,0.3715
281.6913737203379,0.372
282.76904556794204,0.3725
282.76904556794204,0.373
282.76904556794204,0.3735
282.76904556794204,0.374
283.8260787585134,0.3745
283.8260787585134,0.375
283.8260787585134,0.3755
283.8260787585134,0.376
284.87881824105807,0.3765
284.87881824105807,0.377
284.87881824105807,0.3775
284.87881824105807,0.378
285.9441286480917,0.3785
285.9441286480917,0.379
285.9441286480917,0.3795
285.9441286480917,0.38
286.9889232731156,0.3805
286.9889232731156,0.381
286.9889232731156,0.3815
286.9889232731156,0.382
288.0295639384825,0.3825
288.0295639384825,0.383
288.0295639384825,0.3835
288.0295639384825,0.384
289.08218563012474,0.3845
289.08218563012474,0.385
289.08218563012474,0.3855
289.08218563012474,0.386
290.1128097726863,0.3865
290.1128097726863,0.387
290.1128097726863,0.3875
290.1128097726863,0.388
291.13734365251275,0.3885
291.13734365251275,0.389
291.13734365251275,0.3895
291.13734365251275,0.39
292.1727295246666,0.3905
292.1727295246666,0.391
292.1727295246666,0.3915
292.1727295246666,0.392
293.1880449812686,0.3925
293.1880449812686,0.393
293.1880449812686,0.3935
293.1880449812686,0.394
294.19976408859316,0.3945
294.19976408859316,0.395
294.19976408859316,0.3955
294.19976408859316,0.396
295.22439312557117,0.3965
295.22439312557117,0.397
295.22439312557117,0.3975
295.22439312557117,0.398
296.23048519020085,0.3985
296.23048519020085,0.399
296.23048519020085,0.3995
296.23048519020085,0.4
297.234424592369,0.40049999999999997
297.234424592369,0.401
297.234424592369,0.40149999999999997
297.234424592369,0.402
298.25322854091985,0.40249999999999997
298.25322854091985,0.403
298.25322854091985,0.40349999999999997
298.25322854091985,0.404
299.25759951257294,0.40449999999999997
299.25759951257294,0.405
299.25759951257294,0.40549999999999997
299.25759951257294,0.406
300.2642144878157,0.4065
300.2642144878157,0.40700000000000003
300.2642144878157,0.4075
300.2642144878157,0.40800000000000003
301.289285503193,0.4085
301.289285503193,0.40900000000000003
301.289285503193,0.4095
301.289285503193,0.41000000000000003
302.3008729548168,0.4105
302.3008729548168,0.41100000000000003
302.3008729548168,0.4115
302.3008729548168,0.41200000000000003
303.3151661025778,0.4125
303.3151661025778,0.41300000000000003
303.3151661025778,0.4135
303.3151661025778,0.41400000000000003
304.3480168778807,0.4145
304.3480168778807,0.41500000000000004
304.3480168778807,0.4155
304.3480168778807,0.41600000000000004
305.3670164219743,0.4165
305.3670164219743,0.41700000000000004
305.3670164219743,0.4175
305.3670164219743,0.41800000000000004
306.3877905004571,0.4185
306.3877905004571,0.41900000000000004
306.3877905004571,0.4195
306.3877905004571,0.42000000000000004
307.4253173426496,0.4205
307.4253173426496,0.42100000000000004
307.4253173426496,0.4215
307.4253173426496,0.42200000000000004
308.44364587478015,0.4225
308.44364587478015,0.42300000000000004
308.44364587478015,0.4235
308.44364587478015,0.42400000000000004
309.4570208492041,0.4245
309.4570208492041,0.42500000000000004
309.4570208492041,0.4255
309.4570208492041,0.42600000000000005
310.47793662180595,0.4265
310.47793662180595,0.42700000000000005
310.47793662180595,0.4275
310.47793662180595,0.42800000000000005
311.46509875619404,0.4285
311.46509875619404,0.42900000000000005
311.46509875619404,0.4295
311.46509875619404,0.43000000000000005
312.42568555426715,0.4305
312.42568555426715,0.43100000000000005
312.42568555426715,0.4315
312.42568555426715,0.43200000000000005
313.35728513360846,0.4325
313.35728513360846,0.43300000000000005
313.35728513360846,0.4335
313.35728513360846,0.43400000000000005
314.19034653268204,0.4345
314.19034653268204,0.43500000000000005
314.19034653268204,0.4355
314.19034653268204,0.43600000000000005
314.91675133332194,0.4365
314.91675133332194,0.43700000000000006
314.91675133332194,0.4375
314.91675133332194,0.438
315.53643079123185,0.4385
315.53643079123185,0.439
315.53643079123185,0.4395
315.53643079123185,0.44
316.00353748828934,0.4405
316.00353748828934,0.441
316.00353748828934,0.4415
316.00353748828934,0.442
316.2960595067451,0.4425
316.2960595067451,0.443
316.2960595067451,0.4435
316.2960595067451,0.444
316.38493714311926,0.4445
316.38493714311926,0.445
316.38493714311926,0.4455
316.38493714311926,0.446
316.17034921727986,0.4465
316.17034921727986,0.447
316.17034921727986,0.4475
316.17034921727986,0.448
315.3608767907863,0.4485
315.3608767907863,0.449
315.3608767907863,0.4495
315.3608767907863,0.45
